# semantica-graph-server 看板条目（GitHub Projects #5，PROJ-SEMANTICA-0001）
# 格式：标题<TAB>状态<TAB>优先级；状态 ∈ 未开始|进行中|已完成；优先级 ∈ P0|P1|P2（可空）
# 同步：bash scripts/sync-github-projects.sh docs/project-board.tsv（按标题幂等 upsert）
Docker 多阶段镜像构建（图引擎 + HAProxy 单镜像）	已完成	P0
Docker 端到端冒烟测试（HTTP/gRPC/stats/回环隔离/非 root）	已完成	P1
Docker 默认端口与 open-ikc 分离（18180/18151/8406）	已完成	P1
pytest 测试套件（12 passed）	已完成	P1
五类接口实现（HTTP/gRPC/Celery/MCP/CLI）	已完成	P0
Celery worker 接入真实 Redis（容器内启用，复用宿主本地 Redis）	已完成	P1
semantica 原生 MCP/检索能力接入（pinecone 依赖修复后）	未开始	P2
镜像体积精简评估（CPU-only torch / 最小依赖集）	进行中	P2
MCP/CLI 镜像内冒烟脚本	已完成	P2
Python SDK 设计与实现（semantica-graph-sdk：同步/异步客户端 + 模型 + 异常/重试语义）	已完成	P1
HTTP 面补齐语义检索/索引状态端点（与 MCP/application 层对齐）	已完成	P1
修复 /analytics JSON 序列化缺陷（GraphAnalyzer frozenset → list，回归单测）	已完成	P1
SDK 真实服务端到端联调冒烟（examples/quickstart + async_quickstart）	已完成	P2
SDK 独立发布到 PyPI（semantica-graph-sdk 0.1.0）	已完成	P2
图谱资产模型归位：消费 ikc-sdk-lib 0.7.0（G8 形状 / G2 traceId / G3 状态映射）	已完成	P1
core 数据面回写通道（/internal/graph/build，落地语义只在 ikc-core-service）	已完成	P1
文本建图关系抽取（规则共现 + semantica 增强降级）与 build 响应记录回传	已完成	P1
